Username,Position,Player Name,Team
AWKWARDERICTION,RB,James Cook,BUF
AWKWARDERICTION,RB,Saquon Barkley,PHI
AWKWARDERICTION,W/T,Cooper Kupp,LAR
AWKWARDERICTION,W/T,Dallas Goedert,PHI
AWKWARDERICTION,W/T,Xavier Worthy,KC
AWKWARDERICTION,W/T,DeVonta Smith,PHI
AWKWARDERICTION,W/T,Travis Kelce,KC
COOLHANDS22,QB,Jalen Hurts,PHI
COOLHANDS22,QB,Patrick Mahomes,KC
COOLHANDS22,RB,Isiah Pacheco,KC
COOLHANDS22,RB,Saquon Barkley,PHI
COOLHANDS22,W/T,Curtis Samuel,BUF
COOLHANDS22,W/T,Cooper Kupp,LAR
COOLHANDS22,W/T,Isaiah Likely,BAL
COOLHANDS22,W/T,Hollywood Brown,KC
COOLHANDS22,W/T,Xavier Worthy,KC
COOLHANDS22,W/T,Travis Kelce,KC
CHILDS94,QB,Jalen Hurts,PHI
CHILDS94,RB,Derrick Henry,BAL
CHILDS94,RB,Saquon Barkley,PHI
CHILDS94,W/T,Zach Ertz,WAS
CHILDS94,W/T,Jahan Dotson,PHI
CHILDS94,W/T,Isaiah Likely,BAL
CHILDS94,W/T,Dallas Goedert,PHI
CHILDS94,W/T,Rashod Bateman,BAL
CHILDS94,W/T,Mark Andrews,BAL
CHILDS94,W/T,DeVonta Smith,PHI
DIRTYRANDY11,QB,Jalen Hurts,PHI
DIRTYRANDY11,QB,Patrick Mahomes,KC
DIRTYRANDY11,RB,Isiah Pacheco,KC
DIRTYRANDY11,RB,James Cook,BUF
DIRTYRANDY11,RB,Saquon Barkley,PHI
DIRTYRANDY11,W/T,Jahan Dotson,PHI
DIRTYRANDY11,W/T,Khalil Shakir,BUF
DIRTYRANDY11,W/T,DeAndre Hopkins,KC
DIRTYRANDY11,W/T,Xavier Worthy,KC
DIRTYRANDY11,W/T,Travis Kelce,KC
MCDAFFY21,QB,Jayden Daniels,WAS
MCDAFFY21,QB,Patrick Mahomes,KC
MCDAFFY21,RB,Kareem Hunt,KC
